Name,Square / Transit,Scraping strategy (LLM cost),Avg events/week,Quirks,Other details
The Burren,Davis / Red (Davis),"burren_tables — structured HTML tables, NO LLM extraction",~6,Two rooms (Front trad/acoustic + Back ticketed). Long calendar (months out).,Bespoke table parser; very stable.
Club Passim,Harvard / Red (Harvard),html_full_text — LLM extraction (low; small page),~6,JS 'See More' pagination → only ~7 events captured per scrape; accumulates over time via merge.,Detail pages add image/description.
Lamplighter Brewing – Broadway,Central / Red (Central),shopify_products — LLM extraction + detail-page LLM (medium),~9,Events tagged by location; routed to Broadway vs CX via location_keywords.,Shopify store; detail pages for image/desc/cost.
Lamplighter Brewing – CX,Lechmere / Green (Lechmere),shopify_products (shares Broadway's page),~1.5,"Sibling of Broadway — same collection page, split by 'cx/western/525' keywords.",Lechmere not yet on metro map.
The Tall Ship Boston,Maverick / Blue (Maverick),"wix_events — structured Wix JSON, NO LLM extraction",~7,Waterfront/seasonal. No price in feed.,Direct JSON parse; very stable.
Veronica Robles Cultural Center,Maverick / Blue (Maverick),html_full_text — LLM extraction (low),~0.3 (sparse),"Elementor page, irregular layout. event_address=True (hosts off-site events).",Low volume; future-dated.
Sally O'Brien's,Union Square / Green (Union Sq),html_full_text — LLM extraction (medium),~6,Plain HTML list; many free shows. Clean.,Union Sq not yet on metro map.
Arts at the Armory,Davis / Green (Magoun),html_full_text — LLM extraction (high; rich page),~3,WordPress/The Events Calendar. Very wide category mix (music/comedy/fitness/film/markets).,Square=Davis but nearest stop is Magoun (GLX).
The Plough and Stars,Central / Red (Central),html_full_text — LLM extraction (low),~3,Hosted calendar subdomain; short forward window → few events per scrape (accumulates).,"Irish pub, nightly music."
The Sinclair,Harvard / Red (Harvard),html_full_text — LLM extraction (medium),~4.5,"Carbonhouse/AEG platform, server-rendered list.",Not locally owned (is_local=False). A bespoke Carbonhouse parser would be reusable across AEG venues.
The Comedy Studio,Harvard / Red (Harvard),"seatengine — structured JSON-LD, NO LLM extraction (categorize only)",~3,Box office is SeatEngine (NOT Dice — that block was vestigial). default_category=comedy.,Prices + images in feed. Calendar runs ~11 months out. Parser reusable for other SeatEngine comedy clubs.
McCarthy's and Toad,Porter / Red (Porter),"squarespace_events — structured JSON, NO LLM extraction (categorize only)",~9,JS Squarespace calendar; real feed at /music?format=json. 3 rooms (McCarthy's/Toad/Upstairs). Every event has an image.,Highest-volume venue (226 active). Times converted from epoch-ms.
The Rockwell,Davis / Red (Davis),"jsonld_events — structured schema.org JSON-LD, NO LLM extraction (categorize only)",~3,"WordPress/TEC; cabaret/variety (comedy, drag, music, classes). Prices are ranges ('$25 – 75').",Generic JSON-LD parser; reusable for any TEC/JSON-LD site.
The Lilypad,Inman Square / Bus (Inman Sq),"squarespace_events — structured JSON, NO LLM extraction (categorize only)",~6,Squarespace collection at /home. Jazz/avant-garde; multiple sets a night.,Inman Sq (bus) not yet on metro map. High volume (125).
Bow Market,Union Square / Green (Union Sq),"squarespace_events — structured JSON, NO LLM extraction",0 (currently),"COLLECTION STALE — nothing posted to /upcomingevents after 2026-06-14, so 0 upcoming right now.",Config is correct; self-populates if they resume. Multi-tenant market treated as one venue.
